signal_date,execution_date,end_date,holding_clock,effective_holding_days,sleeve_slot,instrument_id,side,weight,abs_weight,weight_mode,capital_weight,effective_weight,predicted_y,sector,market_cap,size_exposure_z
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,NRG,long,0.05,0.05,equal_weight,1.0,0.05,0.0281902499635938,Utilities,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,SNDK,long,0.05,0.05,equal_weight,1.0,0.05,0.0212905629526731,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,COIN,long,0.05,0.05,equal_weight,1.0,0.05,0.0199986184404655,Financials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,LITE,long,0.05,0.05,equal_weight,1.0,0.05,0.0195189895572403,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,REGN,long,0.05,0.05,equal_weight,1.0,0.05,0.0186951423057511,Health Care,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,XYZ,long,0.05,0.05,equal_weight,1.0,0.05,0.0181536775263009,Financials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MCHP,long,0.05,0.05,equal_weight,1.0,0.05,0.0178278872414244,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,TSLA,long,0.05,0.05,equal_weight,1.0,0.05,0.017281351482662,Consumer Discretionary,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,ADM,long,0.05,0.05,equal_weight,1.0,0.05,0.0147924555746381,Consumer Staples,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,ROK,long,0.05,0.05,equal_weight,1.0,0.05,0.0146613842615352,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,DELL,long,0.05,0.05,equal_weight,1.0,0.05,0.014508058435423,Unknown,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,LRCX,long,0.05,0.05,equal_weight,1.0,0.05,0.0136029083498837,Unknown,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,VLO,long,0.05,0.05,equal_weight,1.0,0.05,0.013185971893305,Energy,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,AXON,long,0.05,0.05,equal_weight,1.0,0.05,0.0131503684825031,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,VRT,long,0.05,0.05,equal_weight,1.0,0.05,0.0130465043292695,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,ODFL,long,0.05,0.05,equal_weight,1.0,0.05,0.012787484706351,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,PCAR,long,0.05,0.05,equal_weight,1.0,0.05,0.0124225077239306,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,DAL,long,0.05,0.05,equal_weight,1.0,0.05,0.012355119458365,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,EMR,long,0.05,0.05,equal_weight,1.0,0.05,0.0119240784475986,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MMM,long,0.05,0.05,equal_weight,1.0,0.05,0.0115797311710371,Industrials,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,PANW,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0001845296900637,Information Technology,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,PEG,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0006231306051423,Utilities,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,COST,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0008581013049256,Consumer Staples,,
2025-06-02,2025-06-03,2025-06-16,signal_horizon,9,0,MSFT,short,-0.05,0.05,equal_weight,1.0,-0.05,0.0015344419668661,Information Technology,,
