date,instrument_id,target_weight,capital_weight,effective_weight,daily_close_return,gross_return_contribution,signal_date,execution_date,end_date,sleeve_slot,side
2025-06-04,ADM,0.05,1.0,0.05,-0.0008459784856101882,-4.229892428050941e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,ADM,0.05,1.0,0.05,-0.005503724250378483,-0.0002751862125189242,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,ADM,0.05,1.0,0.05,0.009365520907846037,0.00046827604539230184,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,ADM,0.05,1.0,0.05,0.010122351615257541,0.0005061175807628771,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,ADM,0.05,1.0,0.05,0.017536583121480875,0.0008768291560740439,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,ADM,0.05,1.0,0.05,-0.0014362968715797564,-7.181484357898782e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,ADM,0.05,1.0,0.05,0.02034113881301991,0.0010170569406509956,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,ADM,0.05,1.0,0.05,0.047120475691873054,0.0023560237845936527,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,ADM,0.05,1.0,0.05,0.04153843372302579,0.0020769216861512897,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,AJG,-0.05,1.0,-0.05,-0.025807423772660987,0.0012903711886330495,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,AJG,-0.05,1.0,-0.05,-0.02449889825175744,0.001224944912587872,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,AJG,-0.05,1.0,-0.05,0.004000565859995531,-0.00020002829299977656,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,AJG,-0.05,1.0,-0.05,-0.03324615728297453,0.0016623078641487266,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,AJG,-0.05,1.0,-0.05,-0.010791942349633099,0.000539597117481655,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,AJG,-0.05,1.0,-0.05,-0.0046437529461513805,0.00023218764730756903,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,AJG,-0.05,1.0,-0.05,0.023039592656845853,-0.0011519796328422927,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,AJG,-0.05,1.0,-0.05,-0.010963534979209988,0.0005481767489604995,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,AJG,-0.05,1.0,-0.05,-0.0009791826545098026,4.8959132725490134e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,AXON,0.05,1.0,0.05,0.02757320467691371,0.0013786602338456855,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,AXON,0.05,1.0,0.05,0.010717929938037996,0.0005358964969018998,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,AXON,0.05,1.0,0.05,0.004426899258290984,0.0002213449629145492,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,AXON,0.05,1.0,0.05,-0.010166051703308643,-0.0005083025851654321,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,AXON,0.05,1.0,0.05,-0.02697118522320152,-0.0013485592611600762,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,AXON,0.05,1.0,0.05,0.02058586101287596,0.001029293050643798,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,AXON,0.05,1.0,0.05,-0.004059783652861526,-0.00020298918264307633,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,AXON,0.05,1.0,0.05,0.007004634404470522,0.0003502317202235261,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,AXON,0.05,1.0,0.05,-2.5645351991232523e-05,-1.2822675995616263e-06,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,AZO,-0.05,1.0,-0.05,-0.008260395127423603,0.0004130197563711802,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,AZO,-0.05,1.0,-0.05,0.0022087362124818544,-0.00011043681062409272,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,AZO,-0.05,1.0,-0.05,-0.001613317164120942,8.066585820604711e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,AZO,-0.05,1.0,-0.05,-0.005850660302324617,0.0002925330151162309,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,AZO,-0.05,1.0,-0.05,0.004351636242971191,-0.00021758181214855956,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,AZO,-0.05,1.0,-0.05,-0.014805155000936154,0.0007402577500468078,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,AZO,-0.05,1.0,-0.05,0.0068004018528657895,-0.0003400200926432895,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,AZO,-0.05,1.0,-0.05,-0.011095481535630558,0.0005547740767815279,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,AZO,-0.05,1.0,-0.05,-0.0108247336309929,0.000541236681549645,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,BA,-0.05,1.0,-0.05,-0.006793782495756462,0.0003396891247878231,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,BA,-0.05,1.0,-0.05,-0.013963541442005623,0.0006981770721002812,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,BA,-0.05,1.0,-0.05,0.008515925476021646,-0.0004257962738010823,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,BA,-0.05,1.0,-0.05,0.0318310785496001,-0.001591553927480005,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,BA,-0.05,1.0,-0.05,-0.0081835263865212,0.00040917631932606003,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,BA,-0.05,1.0,-0.05,-0.008019263717986336,0.00040096318589931683,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,BA,-0.05,1.0,-0.05,-0.047897196263920305,0.0023948598131960154,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,BA,-0.05,1.0,-0.05,-0.01683431988196138,0.000841715994098069,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,BA,-0.05,1.0,-0.05,0.0068889255872419675,-0.0003444462793620984,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,BDX,-0.05,1.0,-0.05,0.0016405813763455956,-8.202906881727979e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,BDX,-0.05,1.0,-0.05,0.0005265573273269819,-2.6327866366349098e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,BDX,-0.05,1.0,-0.05,0.014149631767516047,-0.0007074815883758023,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,BDX,-0.05,1.0,-0.05,0.000579867632186204,-2.89933816093102e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,BDX,-0.05,1.0,-0.05,0.010898009539323406,-0.0005449004769661703,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,BDX,-0.05,1.0,-0.05,-0.009576208094951189,0.00047881040474755945,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,BDX,-0.05,1.0,-0.05,0.010074080239891314,-0.0005037040119945657,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,BDX,-0.05,1.0,-0.05,-0.012896938582419915,0.0006448469291209958,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,BDX,-0.05,1.0,-0.05,-0.0006387901445846778,3.193950722923389e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,COIN,0.05,1.0,0.05,-0.01123944081364825,-0.0005619720406824125,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,COIN,0.05,1.0,0.05,-0.046093761922729626,-0.002304688096136481,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,COIN,0.05,1.0,0.05,0.02895170930737878,0.001447585465368939,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,COIN,0.05,1.0,0.05,0.02133163735991661,0.0010665818679958306,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,COIN,0.05,1.0,0.05,-0.006585365737898918,-0.0003292682868949459,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,COIN,0.05,1.0,0.05,-0.016709852220116894,-0.0008354926110058447,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,COIN,0.05,1.0,0.05,-0.03841546954591857,-0.0019207734772959284,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,COIN,0.05,1.0,0.05,0.006886553168065301,0.0003443276584032651,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,COIN,0.05,1.0,0.05,0.07770590453389459,0.0038852952266947294,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,COST,-0.05,1.0,-0.05,-0.003694504945791932,0.00018472524728959663,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,COST,-0.05,1.0,-0.05,-0.03887078629295604,0.001943539314647802,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,COST,-0.05,1.0,-0.05,0.004085823237224284,-0.0002042911618612142,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,COST,-0.05,1.0,-0.05,-0.008631025707261375,0.00043155128536306875,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,COST,-0.05,1.0,-0.05,0.001083329968081248,-5.41664984040624e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,COST,-0.05,1.0,-0.05,-0.01041428192157523,0.0005207140960787615,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,COST,-0.05,1.0,-0.05,0.0059491397291959736,-0.0002974569864597987,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,COST,-0.05,1.0,-0.05,-0.012466179902232755,0.0006233089951116378,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,COST,-0.05,1.0,-0.05,-0.0059078446892633085,0.00029539223446316547,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,CTAS,-0.05,1.0,-0.05,-0.0009228078727814282,4.6140393639071414e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,CTAS,-0.05,1.0,-0.05,-0.0020670911728895014,0.00010335455864447508,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,CTAS,-0.05,1.0,-0.05,0.003349620140963294,-0.0001674810070481647,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,CTAS,-0.05,1.0,-0.05,-0.013441167961873668,0.0006720583980936835,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,CTAS,-0.05,1.0,-0.05,-0.010596658174814921,0.0005298329087407461,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,CTAS,-0.05,1.0,-0.05,-0.00225002568200261,0.0001125012841001305,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,CTAS,-0.05,1.0,-0.05,0.008343938416006669,-0.00041719692080033344,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,CTAS,-0.05,1.0,-0.05,-0.00711188981539157,0.0003555944907695785,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,CTAS,-0.05,1.0,-0.05,0.0022074229533288747,-0.00011037114766644375,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,DAL,0.05,1.0,0.05,0.0030717749709363584,0.00015358874854681792,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,DAL,0.05,1.0,0.05,-0.0028582312122885645,-0.00014291156061442824,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,DAL,0.05,1.0,0.05,0.04320234841517179,0.0021601174207585895,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,DAL,0.05,1.0,0.05,0.004906701226744081,0.0002453350613372041,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,DAL,0.05,1.0,0.05,0.00937499034122613,0.00046874951706130655,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,DAL,0.05,1.0,0.05,-0.048568144362366894,-0.002428407218118345,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,DAL,0.05,1.0,0.05,-0.0058978781468915775,-0.0002948939073445789,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,DAL,0.05,1.0,0.05,-0.03764315654699957,-0.0018821578273499784,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,DAL,0.05,1.0,0.05,0.051445465224466025,0.0025722732612233016,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,DELL,0.05,1.0,0.05,0.007149233527801169,0.00035746167639005844,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,DELL,0.05,1.0,0.05,-0.0078082851744009085,-0.00039041425872004545,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,DELL,0.05,1.0,0.05,0.017259803055580836,0.0008629901527790418,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,DELL,0.05,1.0,0.05,0.0041318566210371,0.000206592831051855,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,DELL,0.05,1.0,0.05,-0.008492342245492668,-0.0004246171122746334,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,DELL,0.05,1.0,0.05,-0.0177483555144462,-0.0008874177757223101,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,DELL,0.05,1.0,0.05,0.019417464237927007,0.0009708732118963504,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,DELL,0.05,1.0,0.05,-0.033862429384256876,-0.0016931214692128438,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,DELL,0.05,1.0,0.05,0.038152604482976304,0.0019076302241488154,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,EMR,0.05,1.0,0.05,0.01013384076255619,0.0005066920381278095,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,EMR,0.05,1.0,0.05,0.007318420000738124,0.0003659210000369062,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,EMR,0.05,1.0,0.05,0.008244849034989121,0.0004122424517494561,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,EMR,0.05,1.0,0.05,0.016921787402947697,0.0008460893701473849,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,EMR,0.05,1.0,0.05,0.010668776903127952,0.0005334388451563977,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,EMR,0.05,1.0,0.05,-0.0035450236761191967,-0.00017725118380595983,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,EMR,0.05,1.0,0.05,0.0018183852140025714,9.091926070012857e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,EMR,0.05,1.0,0.05,-0.009311968790945535,-0.0004655984395472768,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,EMR,0.05,1.0,0.05,0.025011859693671923,0.0012505929846835962,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,EQIX,-0.05,1.0,-0.05,0.019400098918740172,-0.0009700049459370086,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,EQIX,-0.05,1.0,-0.05,-0.0026968210988070895,0.00013484105494035448,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,EQIX,-0.05,1.0,-0.05,0.005155374858997863,-0.0002577687429498932,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,EQIX,-0.05,1.0,-0.05,-0.007600457510243297,0.00038002287551216487,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,EQIX,-0.05,1.0,-0.05,-0.0001542216597251178,7.71108298625589e-06,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,EQIX,-0.05,1.0,-0.05,-0.015032945713267187,0.0007516472856633594,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,EQIX,-0.05,1.0,-0.05,0.00304349438672058,-0.000152174719336029,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,EQIX,-0.05,1.0,-0.05,-0.004216682891956203,0.00021083414459781015,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,EQIX,-0.05,1.0,-0.05,-0.005030144854661578,0.0002515072427330789,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,ETN,-0.05,1.0,-0.05,0.0038055304403337153,-0.00019027652201668578,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,ETN,-0.05,1.0,-0.05,-0.0018343895900483354,9.171947950241677e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,ETN,-0.05,1.0,-0.05,0.01522301347422661,-0.0007611506737113306,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,ETN,-0.05,1.0,-0.05,-0.01701629015996131,0.0008508145079980656,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,ETN,-0.05,1.0,-0.05,-0.00481860995047223,0.00024093049752361151,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,ETN,-0.05,1.0,-0.05,0.004533547777630265,-0.00022667738888151325,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,ETN,-0.05,1.0,-0.05,0.014215064471286842,-0.0007107532235643421,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,ETN,-0.05,1.0,-0.05,-0.02022148326825035,0.0010110741634125175,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,ETN,-0.05,1.0,-0.05,0.04433669743739266,-0.002216834871869633,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,HON,-0.05,1.0,-0.05,0.002998637573298657,-0.00014993187866493287,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,HON,-0.05,1.0,-0.05,-0.0034293410640934274,0.00017146705320467137,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,HON,-0.05,1.0,-0.05,0.009308672035673204,-0.00046543360178366024,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,HON,-0.05,1.0,-0.05,-0.007212174822469164,0.00036060874112345823,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,HON,-0.05,1.0,-0.05,-0.0038303954224081505,0.00019151977112040754,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,HON,-0.05,1.0,-0.05,-0.0019446426474196699,9.72321323709835e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,HON,-0.05,1.0,-0.05,0.0010185000278122303,-5.0925001390611514e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,HON,-0.05,1.0,-0.05,-0.0077858699516232255,0.0003892934975811613,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,HON,-0.05,1.0,-0.05,-0.0008917257585990823,4.458628792995412e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,LITE,0.05,1.0,0.05,0.03386989313683575,0.0016934946568417876,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,LITE,0.05,1.0,0.05,0.016940715386155603,0.0008470357693077801,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,LITE,0.05,1.0,0.05,-0.002204805322679415,-0.00011024026613397077,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,LITE,0.05,1.0,0.05,0.00797939520333979,0.0003989697601669895,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-10,LITE,0.05,1.0,0.05,-0.001826836253588593,-9.134181267942966e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-11,LITE,0.05,1.0,0.05,0.004880448150267336,0.0002440224075133668,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-12,LITE,0.05,1.0,0.05,0.03812529585672464,0.001906264792836232,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-13,LITE,0.05,1.0,0.05,-0.035497118859232124,-0.0017748559429616062,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-16,LITE,0.05,1.0,0.05,0.04019890364422518,0.002009945182211259,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-04,LMT,-0.05,1.0,-0.05,0.004248487466492534,-0.00021242437332462673,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-05,LMT,-0.05,1.0,-0.05,-0.008668488704217547,0.0004334244352108774,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-06,LMT,-0.05,1.0,-0.05,0.00765641543194695,-0.0003828207715973475,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-09,LMT,-0.05,1.0,-0.05,-0.0017853564336962613,8.926782168481307e-05,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-10,LMT,-0.05,1.0,-0.05,-0.008173358953738274,0.00040866794768691373,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-11,LMT,-0.05,1.0,-0.05,-0.042566613243602336,0.002128330662180117,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-12,LMT,-0.05,1.0,-0.05,0.027748585122514324,-0.0013874292561257163,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-13,LMT,-0.05,1.0,-0.05,0.036610034335480934,-0.0018305017167740468,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-16,LMT,-0.05,1.0,-0.05,-0.039860169461496175,0.001993008473074809,2025-06-02,2025-06-03,2025-06-16,0,short
2025-06-04,LRCX,0.05,1.0,0.05,0.013267929012824142,0.0006633964506412072,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-05,LRCX,0.05,1.0,0.05,0.0016516541838080823,8.258270919040412e-05,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-06,LRCX,0.05,1.0,0.05,0.016959150182675575,0.0008479575091337789,2025-06-02,2025-06-03,2025-06-16,0,long
2025-06-09,LRCX,0.05,1.0,0.05,0.02258248520185835,0.0011291242600929175,2025-06-02,2025-06-03,2025-06-16,0,long
