date,long_gross_return,short_gross_return,gross_return,transaction_cost,borrow_cost,net_return,long_exposure,short_exposure_abs,gross_exposure,net_exposure,benchmark_return,active_return_vs_equal_weight_long_only,excess_return,portfolio_nav,benchmark_nav
2025-06-03,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.0070072069315681475,-0.011007206931568148,-0.011007206931568148,0.996,1.007007206931568
2025-06-04,0.005247956591910552,0.0020628995094981732,0.007310856101408724,0.0,0.0,0.007310856101408724,1.0,1.0,2.0,0.0,-0.002125576175478623,0.009436432276887348,0.009436432276887348,1.0032816126770032,1.0048667364039792
2025-06-05,-0.0031074343494932287,0.0007284695658546333,-0.002378964783638593,0.0,0.0,-0.002378964783638593,1.0,1.0,2.0,0.0,-0.0017214928537249608,-0.0006574719299136324,-0.0006574719299136324,1.0008948410523724,1.003136865498314
2025-06-06,0.008146325828324719,-0.005564749363821637,0.0025815764645030813,0.0,0.0,0.0025815764645030813,1.0,1.0,2.0,0.0,0.00943819703591438,-0.006856620571411298,-0.006856620571411298,1.003478727617476,1.0126046688888766
2025-06-09,0.008357362097690675,0.007677545192007879,0.016034907289698554,0.0,0.0,0.016034907289698554,1.0,1.0,2.0,0.0,-0.0013046845751815347,0.01733959186488009,0.01733959186488009,1.0195694159820068,1.0112835391966204
2025-06-10,0.007679379536871195,0.0032110702881880558,0.01089044982505925,0.0,0.0,0.01089044982505925,1.0,1.0,2.0,0.0,0.004345245981466781,0.006545203843592469,0.006545203843592469,1.0306729855499237,1.015677814931438
2025-06-11,-0.0019376823159866828,0.00742147414139121,0.005483791825404527,0.0,0.0,0.005483791825404527,1.0,1.0,2.0,0.0,-0.0012460831176065597,0.006729874943011086,0.006729874943011086,1.0363249816427476,1.0144121959533245
2025-06-12,-0.0005004367226613907,-0.004568058757037425,-0.005068495479698814,0.0,0.0,-0.005068495479698814,1.0,1.0,2.0,0.0,0.004128343134510266,-0.00919683861420908,-0.00919683861420908,1.0310723731577924,1.018600037578052
2025-06-13,-0.01960875779112341,0.01248802329848923,-0.007120734492634178,0.0,0.0,-0.007120734492634178,1.0,1.0,2.0,0.0,-0.01113908080134657,0.0040183463087123915,0.0040183463087123915,1.0237303805458455,1.0072537694552153
2025-06-16,0.05755844130932214,-0.004153678254508469,0.053404763054813675,0.004000000000000001,0.0,0.04940476305481367,1.0,1.0,2.0,0.0,0.010241614134128876,0.039163148920684794,0.039163148920684794,1.0743075374287272,1.0175696738971223
2025-06-17,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,-0.007889925357047687,0.0038899253570476864,0.0038899253570476864,1.0700103072790124,1.0095411251244786
2025-06-18,0.008526427982785101,0.003939344358768071,0.012465772341553171,0.0,0.0,0.012465772341553171,1.0,1.0,2.0,0.0,0.0011833253278192768,0.011282447013733893,0.011282447013733893,1.0833488121726678,1.0107357407073136
2025-06-20,0.001527586419586746,0.0015862960701965745,0.0031138824897833208,0.0,0.0,0.0031138824897833208,1.0,1.0,2.0,0.0,0.001134738108427618,0.0019791443813557026,0.0019791443813557026,1.08672223306922,1.0118826610698441
2025-06-23,0.0013245421064605194,-0.012906983677951345,-0.011582441571490826,0.0,0.0,-0.011582441571490826,1.0,1.0,2.0,0.0,0.008251643207767714,-0.01983408477925854,-0.01983408477925854,1.0741353363002557,1.0202323557571191
2025-06-24,0.022432018139653405,-0.01189550320013272,0.010536514939520686,0.0,0.0,0.010536514939520686,1.0,1.0,2.0,0.0,0.010394718541356667,0.0001417963981640187,0.0001417963981640187,1.0854529793182504,1.0308373839419995
2025-06-25,-0.0033091525453073315,0.005168122332710489,0.0018589697874031581,0.0,0.0,0.0018589697874031581,1.0,1.0,2.0,0.0,-0.006076652042891699,0.007935621830294858,0.007935621830294858,1.0874708036124499,1.0245733438469793
2025-06-26,0.009371433483606147,-0.00990306128560578,-0.0005316278019996349,0.0,0.0,-0.0005316278019996349,1.0,1.0,2.0,0.0,0.008752999258149468,-0.009284627060149103,-0.009284627060149103,1.0868926738993865,1.0335414335655915
2025-06-27,-0.001925581212859634,-0.004595861191282697,-0.00652144240414233,0.0,0.0,-0.00652144240414233,1.0,1.0,2.0,0.0,0.0054743759054966465,-0.011995818309638976,-0.011995818309638976,1.0798045659270674,1.0391994278868355
2025-06-30,0.01674028918237824,-0.008071146788193968,0.008669142394184268,0.0,0.0,0.008669142394184268,1.0,1.0,2.0,0.0,0.006330878030882208,0.00233826436330206,0.00233826436330206,1.0891655454669795,1.0457784727145496
2025-07-01,0.009362860237512625,-0.00461142450363995,0.004751435733872678,0.004000000000000001,0.0,0.000751435733872677,1.0,1.0,2.0,0.0,0.005277899658444373,-0.004526463924571696,-0.004526463924571696,1.0899839833779463,1.0512979865584982
2025-07-02,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.00334202017605752,-0.0073420201760575204,-0.0073420201760575204,1.0856240474444345,1.0548114456406252
2025-07-03,0.008292644028553297,-0.00943573372680784,-0.0011430896982545396,0.0,0.0,-0.0011430896982545396,1.0,1.0,2.0,0.0,0.007235923876393993,-0.008379013574648533,-0.008379013574648533,1.0843830817796234,1.0624439809652297
2025-07-07,-0.014874792110175113,0.004729994236288254,-0.010144797873886858,0.0,0.0,-0.010144797873886858,1.0,1.0,2.0,0.0,-0.007073097825380271,-0.003071700048506587,-0.003071700048506587,1.0733822345971065,1.0549292107538764
2025-07-08,0.008924230336502043,0.0005985872134328277,0.00952281754993487,0.0,0.0,0.00952281754993487,1.0,1.0,2.0,0.0,0.0005308013525148214,0.008992016197420048,0.008992016197420048,1.083603857778516,1.055489168605752
2025-07-09,0.008243239617109498,-0.0003062024188841718,0.00793703719822533,0.0,0.0,0.00793703719822533,1.0,1.0,2.0,0.0,0.0023406196245509526,0.0055964175736743765,0.0055964175736743765,1.0922044619058446,1.0579596672672915
2025-07-10,0.012499565386145994,0.004120863238724981,0.016620428624870977,0.0,0.0,0.016620428624870977,1.0,1.0,2.0,0.0,0.003866401161744434,0.012754027463126543,0.012754027463126543,1.1103573682087164,1.0620501637538926
2025-07-11,-0.0006134100848743441,0.0054452141262229855,0.004831804041348642,0.0,0.0,0.004831804041348642,1.0,1.0,2.0,0.0,-0.0052965842933903,0.010128388334738942,0.010128388334738942,1.1157223974277686,1.0564249255377611
2025-07-14,-0.0006801099087130336,-0.0018062132558382578,-0.002486323164551292,0.0,0.0,-0.002486323164551292,1.0,1.0,2.0,0.0,0.0030281881198152547,-0.005514511284366547,-0.005514511284366547,1.112948350985835,1.0596239789467514
2025-07-15,-0.0029800018272157563,0.005904342746010255,0.002924340918794498,0.0,0.0,0.002924340918794498,1.0,1.0,2.0,0.0,-0.01137990731637194,0.014304248235166439,0.014304248235166439,1.1162029913891278,1.0475655562761321
2025-07-16,0.009011098255515914,-0.0016226491557185525,0.007388449099797363,0.004000000000000001,0.0,0.003388449099797362,1.0,1.0,2.0,0.0,0.0033120142153714913,7.643488442587087e-05,7.643488442587087e-05,1.1199851884104914,1.0510351082900522
2025-07-17,0.0,0.0,0.0,0.004000000000000001,0.0,-0.004000000000000001,1.0,1.0,2.0,0.0,0.006606030615974507,-0.010606030615974508,-0.010606030615974508,1.1155052476568494,1.0579782783938805
2025-07-18,-0.00042706825339601235,0.0010439174443282184,0.000616849190932205,0.0,0.0,0.000616849190932205,1.0,1.0,2.0,0.0,0.0014148290186595048,-0.0007979798277272998,-0.0007979798277272998,1.1161933461663471,1.0594751367632635
2025-07-21,-0.00208198354578969,-0.0033316230541738656,-0.005413606599963556,0.0,0.0,-0.005413606599963556,1.0,1.0,2.0,0.0,-0.0014348420747950467,-0.0039787645251685095,-0.0039787645251685095,1.1101507145007055,1.0579549572598363
2025-07-22,0.0012208909248470783,-0.004289605186246814,-0.0030687142613997354,0.0,0.0,-0.0030687142613997354,1.0,1.0,2.0,0.0,0.00592836480828963,-0.008997079069689365,-0.008997079069689365,1.106743979170814,1.0642269001972113
2025-07-23,0.015454642867213153,-0.006521111573587451,0.008933531293625703,0.0,0.0,0.008933531293625703,1.0,1.0,2.0,0.0,0.008394182092076603,0.0005393492015491001,0.0005393492015491001,1.1166311111427683,1.073160214584753
2025-07-24,-0.003786539439434639,0.004982064192887115,0.0011955247534524743,0.0,0.0,0.0011955247534524743,1.0,1.0,2.0,0.0,-0.0015160260046217292,0.0027115507580742033,0.0027115507580742033,1.1179660712766146,1.071533275792317
2025-07-25,0.005489947254563489,-0.006710770445933456,-0.0012208231913699687,0.0,0.0,-0.0012208231913699687,1.0,1.0,2.0,0.0,0.0065638043868698134,-0.007784627578239782,-0.007784627578239782,1.1166012323696353,1.0785666106086398
