feature,score
return_std_20,0.034988318677416363
boll_width_20,0.0348988737710898
xschannel_width_20,0.0346238048598227
price_range,0.02636133459598783
return_std_10,0.02554922390133336
mike_ws_to_close,0.024903646938059243
mike_wr_to_close,0.024682159159419105
return_std_5,0.020566424859179217
turnover_rank,0.018010055570399783
momentum_20,0.012688367086612643
obv_ratio_20,0.010692372743971015
dma_signal_10_pct,0.00785664881403895
macd_dif_pct,0.006712668628497676
close_to_ma_5,0.006525145054699615
alpha022,0.006177425293925584
close_to_ma_20,0.006066286892041646
volume_rank,0.005645848430728227
uos_7_14_28,0.005642582607084338
macd_hist_pct,0.005543146477350824
boll_zscore_20,0.005301489455391121
