instrument_id,first_date,last_date,observation_count,global_trading_date_count,coverage_ratio,trading_dates_before_first_observation,trading_dates_after_last_observation,late_start_flag,early_end_flag,fewer_than_252_observations_flag,coverage_below_80pct_flag,review_reason
A,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AAPL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ABBV,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ABNB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ABT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ACGL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ACN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ADBE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ADI,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ADM,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ADP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ADSK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AEE,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AEP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AFL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AIG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AJG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ALL,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMAT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AME,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMGN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AMZN,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ANET,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AON,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
APD,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
APH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
APO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
APP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
ATO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AVGO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AXON,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AXP,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
AZO,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BA,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BAC,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BDX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BKNG,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BKR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BLK,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BMY,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BRK-B,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BSX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
BX,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
C,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CAH,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CARR,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CAT,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
CB,2022-01-03,2026-06-04,1109,1109,1.0,0,0,False,False,False,False,
